id,category,hop_count,question,expected_answer,source_chunk_ids,jury_agreement,chain_divergence,review_status,review_notes,gold_status
CD06,cross_document,2,"When rotor blades rub their outer shrouds, what happens to the clearances, and during what specific phase of the engine's lifecycle is this wear rate the highest?","Rubbing the outer shrouds causes the clearances to increase resulting in efficiency losses. This rate of deterioration is highest during the initial 1,000 to 2,000 engine flight cycles.",D4_c01;D1_c03,unanimous,False,kept,"Qwen jury answer contained free-tier token-level text corruption (stray characters/garbled phrasing); underlying facts read as correct on manual review and matched gold/Opus5/GPT-5.6. Does not affect frozen expected_answer (sourced from Gemini generation, not from Qwen).",frozen
CD07,cross_document,2,"While high EGT is generally an indication of gradual performance degradation, it is also a key acute indicator of what specific malfunctions?","Excessive EGT acutely indicates an engine stall, difficulty in engine starting, or a major bleed air leak.",D1_c21;D3_c15,unanimous,False,kept,,frozen
CD08,cross_document,2,"What specific environmental variable accelerates thermal degradation, and what external operational forces cause structural deflections that lead to blade tip rubs?","High ambient temperatures (OAT) accelerate thermal performance degradation. Aircraft-induced flight loads during takeoff rotation, maneuvers, landing, and thrust reversal cause the structural deflections that lead to tip rubs.",D1_c19;D4_c04,unanimous,False,kept,,frozen
AF01,aggregation_fanout,2,"When troubleshooting high engine vibration on the shop floor, what primary mechanical and operational faults should a technician investigate?","A technician should check for fan unbalance (at assembly or due to FOD), bearing failure, excessive fan rotor tip clearances, or severe engine damage resulting from a sustained compressor surge.",D3_c16;D3_c31,unanimous,False,kept,"Qwen jury answer contained free-tier token-level text corruption (stray characters/garbled phrasing); underlying facts read as correct on manual review and matched gold/Opus5/GPT-5.6. Does not affect frozen expected_answer (sourced from Gemini generation, not from Qwen).",frozen
AF02,aggregation_fanout,3,"What are all the combined sensory, visual, and instrument indications that an engine is experiencing a compressor surge?","Indications include a very loud bang, yaw, vibration, visible flames out the inlet and tailpipe, high EGT, and fluctuations in EPR or rotor speed.",D3_c03;D3_c04;D3_c05,unanimous,False,kept,,frozen
AF03,aggregation_fanout,2,What are the distinctly identified root causes that can result in an engine flameout?,"An engine flameout can be caused by fuel starvation (running out of fuel), a control system malfunction, unstable engine operation such as a compressor stall, or severe fuel filter clogging.",D3_c08;D3_c30,unanimous,False,kept,"Qwen jury answer contained free-tier token-level text corruption (stray characters/garbled phrasing); underlying facts read as correct on manual review and matched gold/Opus5/GPT-5.6. Does not affect frozen expected_answer (sourced from Gemini generation, not from Qwen).",frozen
AF04,aggregation_fanout,3,What specific engine parameters and fluid indications are monitored to detect a failing bearing?,"Technicians monitor for increases in oil temperature, elevated indicated vibration, metal particles collected on chip detectors, and an oil filter bypass indication caused by debris.",D3_c17;D3_c18;D3_c20,unanimous,False,kept,"Qwen jury answer contained free-tier token-level text corruption (stray characters/garbled phrasing); underlying facts read as correct on manual review and matched gold/Opus5/GPT-5.6. Does not affect frozen expected_answer (sourced from Gemini generation, not from Qwen).",frozen
AF05,aggregation_fanout,3,What operational and environmental factors accelerate the rate of engine EGT margin deterioration?,"High takeoff thrust ratings (or low derates), operation on short stage lengths, exposure to high ambient temperatures, and operating in dusty, sandy, or erosive environments.",D1_c05;D1_c18;D1_c19,unanimous,False,kept,"Qwen jury answer contained free-tier token-level text corruption (stray characters/garbled phrasing); underlying facts read as correct on manual review and matched gold/Opus5/GPT-5.6. Does not affect frozen expected_answer (sourced from Gemini generation, not from Qwen).",frozen
AF06,aggregation_fanout,2,What types of materials ingested by the engine constitute Foreign Object Damage (FOD) or particulate distress?,"Ingested materials include birds, ice, hail, volcanic ash, runway debris, and airborne particulates such as dust, sand, or industrial emissions.",D1_c15;D1_c07,unanimous,False,kept,,frozen
DA01,disambiguation,1,Both a compressor surge and a flameout cause abnormal Engine Pressure Ratio (EPR) indications. How do you distinguish between the two based solely on EPR?,"A flameout causes a sustained low EPR reading, whereas a surge causes rapid EPR fluctuations.",D3_c13;D3_c14,unanimous,False,kept,,frozen
DA02,disambiguation,1,How do you distinguish whether an oil filter bypass is caused by generic fluid contamination or by a catastrophic mechanical failure?,"If the bypass is accompanied by an increase in oil temperature, high indicated vibration, and particles on the chip detectors, it is due to debris from a bearing failure. Otherwise, it may be standard contamination.",D3_c20;D3_c17,unanimous,False,kept,,frozen
DA03,disambiguation,1,How does the Exhaust Gas Temperature (EGT) indication behave differently between a flameout and a hot start?,"A flameout is accompanied by a distinct drop in EGT, while a hot start exhibits relatively high, rising turbine temperatures (EGT) due to ineffective sub-idle cooling.",D3_c10;D3_c25,unanimous,False,kept,,frozen
DA04,disambiguation,1,Maintenance crews must respond to engine nacelle fires and tailpipe fires differently. What is the immediate procedural difference?,"For an engine (nacelle) fire, immediately shut off fuel to the engine. For a tailpipe fire, the quickest mitigation is to dry motor the engine.",D3_c24;D3_c22,unanimous,False,kept,,frozen
DA05,disambiguation,1,How do the actions and goals of on-condition monitoring differ from those of a shop maintenance overhaul?,"On-condition monitoring involves taking regular measurements (speed, temp, pressure, vibration) and performing borescope inspections on-wing to track engine health. An overhaul requires taking the engine to a shop and completely dismantling the core to physically inspect, repair, and replace worn parts.",D1_c13;D7_c01,unanimous,False,kept,,frozen
DA06,disambiguation,1,Short-haul operations degrade an engine through two distinct mechanisms. What is the difference between LLP expiry and performance deterioration?,LLP expiry is a hard cyclic limit where rotating parts reach their structural stub-life and must be replaced. Performance deterioration is the gradual loss of thermodynamic efficiency (EGT margin) caused by the engine spending a disproportionate amount of time at high-stress takeoff thrust.,D1_c16;D1_c18,unanimous,False,kept,"Qwen jury answer contained free-tier token-level text corruption (stray characters/garbled phrasing); underlying facts read as correct on manual review and matched gold/Opus5/GPT-5.6. Does not affect frozen expected_answer (sourced from Gemini generation, not from Qwen).",frozen
OS01,operational_scenario,1,"A pilot reports a loud bang and heavy vibration during takeoff, but notes the engine recovered immediately after they pulled back the thrust lever. What fault happened and what corrected it?","The engine experienced a compressor surge, and the pilot's action of retarding the thrust lever allowed the engine to recover airflow stability.",D3_c03;D3_c06,unanimous,False,kept,,frozen
OS02,operational_scenario,1,"Following a normal shutdown, ground crews notice flames coming from the exhaust nozzle, but no fire warning is sounding in the flight deck. What is the cause and the immediate remedy?","Fuel has puddled in the turbine casings/exhaust and ignited, creating a tailpipe fire. The crew should perform a dry motoring run to blow it out.",D3_c21;D3_c22,unanimous,False,kept,"Qwen jury answer contained free-tier token-level text corruption (stray characters/garbled phrasing); underlying facts read as correct on manual review and matched gold/Opus5/GPT-5.6. Does not affect frozen expected_answer (sourced from Gemini generation, not from Qwen).",frozen
OS03,operational_scenario,1,"During a climb, the engine oil quantity steadily decreases to zero, though oil temperature and pressure remain temporarily normal without vibration. What failure mode does this indicate?","It indicates an external oil leak, which produces a sustained reduction in quantity down to zero without immediately generating the heat or debris associated with a bearing failure.",D3_c19,unanimous,False,kept,,frozen
OS04,operational_scenario,1,"A twin-engine aircraft loses a fuel tank boost pump. Shortly after, the crew receives an oil and fuel filter bypass warning. What severe operational risk is now present?","Debris from the failed boost pump is clogging the fuel filter. Once bypassed, the debris can interrupt fuel control, posing a direct risk of a multiple-engine flameout.",D3_c29;D3_c30,unanimous,False,kept,,frozen
OS05,operational_scenario,1,"An engine operating heavily in desert environments is brought to the shop for high fuel consumption. If borescope shows no cracks, what is the likely physical condition of the compressor?","The High-Pressure Compressor (HPC) blades are likely suffering from airfoil erosion due to sand and dust ingestion, degrading their aerodynamic efficiency.",D1_c07,unanimous,False,kept,,frozen
OS06,operational_scenario,1,"During an engine start sequence, the EGT rises rapidly toward redline while the engine core speed hangs in a sub-idle state. What is happening and why is the temperature spiking?","The engine is experiencing a hot start. Because it is operating at sub-idle speeds, normal engine cooling flows are not effective, allowing turbine temperatures to appear relatively high.",D3_c25,unanimous,False,kept,,frozen
OS07,operational_scenario,1,"A heavy aircraft executes a harsh maneuver and hard landing. On subsequent flights, the engine exhibits a permanent increase in cruise SFC. What mechanical damage occurred during the flight?","Flight loads and deflections caused the turbine blades to rub against their outer shrouds, permanently increasing the blade tip clearance and causing efficiency losses.",D4_c04;D4_c01,unanimous,False,kept,,frozen
OS08,operational_scenario,1,"In flight, the pilot notices brief fluctuations in EPR and EGT, but the engine continues running normally because the continuous ignition system activated automatically. What event did the ignition system prevent?",It prevented a total flameout by automatically restarting combustion after an unstable engine operation or temporary fuel interruption.,D3_c12;D3_c08,unanimous,False,kept,,frozen
PR01,provenance,1,"According to the NASA TM-81552 research memorandum, what specific percentage of short-term performance deterioration is attributed to High-Pressure Turbine (HPT) clearance increases?",HPT clearance increases contribute over 90 percent of the total short-term performance deterioration.,D4_c09,unanimous,False,kept,,frozen
PR02,provenance,1,"Based on historical data from NASA TM-81552, what is the estimated permanent residual cruise SFC penalty that cannot be restored even after a performance restoration shop visit?",There is a residual of approximately 0.2 percent cruise SFC that is not restored.,D4_c11,unanimous,False,kept,,frozen
PR03,provenance,1,"According to the concluding remarks of NASA TM-81552, what is the total expected penalty to cruise Specific Fuel Consumption (SFC) caused by long-term performance deterioration?",Long-term performance deterioration accounts for about a 2.5 to 3.0 percent increase in cruise SFC.,D4_c10,unanimous,False,kept,,frozen
